"Compra_idCompra";"Producto_idProducto";"Cantidad";"PrecioUnitario";"Descuento"
1;113;4;4092.88;0
2;4;3;9547.97;0
3;65;4;18844.5;0
4;89;2;12150.0;0
5;89;4;12150.0;0
6;2;2;9585.35;0
7;32;1;6462.13;0
8;68;3;24154.3;0
9;110;4;34555.5;0
10;3;4;8330.27;0
11;24;4;7902.49;0
12;83;3;11905.7;0
13;114;2;13117.6;0
14;57;3;33765.1;0
15;79;2;38594.0;0
16;28;2;3185.74;0
17;72;2;37735.8;0
18;41;2;7619.14;0
19;8;4;1724.64;0
20;2;2;9585.35;0
21;27;2;10479.2;0
22;60;2;48981.1;0
23;93;1;11791.9;0
24;91;3;34176.4;0
25;111;3;41386.1;0
26;67;2;42138.2;0
27;5;3;2104.01;0
28;38;1;6661.92;0
29;93;1;11791.9;0
30;103;2;22936.2;0
31;45;2;3682.87;0
32;15;4;10449.2;0
33;73;1;49687.5;0
34;52;1;42108.7;0
35;88;1;18531.0;0
36;17;3;7522.94;0
37;4;3;9547.97;0
38;126;1;49396.1;0
39;49;4;39390.4;0
40;30;3;1384.42;0
41;27;4;10479.2;0
42;38;1;6661.92;0
43;111;1;41386.1;0
44;6;1;10053.6;0
45;49;2;39390.4;0
46;60;2;48981.1;0
47;110;3;34555.5;0
48;19;4;2761.97;0
49;125;2;39032.1;0
50;77;4;29831.4;0
51;44;3;7433.85;0
52;55;3;4219.76;0
53;77;1;29831.4;0
54;60;4;48981.1;0
55;111;3;41386.1;0
56;55;4;4219.76;0
57;23;1;1065.04;0
58;26;1;4506.21;0
59;14;4;9354.22;0
60;93;2;11791.9;0
61;31;1;4479.28;0
62;83;2;11905.7;0
63;89;1;12150.0;0
64;53;1;47548.8;0
65;99;3;9132.55;0
66;56;1;5470.46;0
67;125;3;39032.1;0
68;82;3;42123.0;0
69;55;4;4219.76;0
70;72;2;37735.8;0
71;2;3;9585.35;0
72;48;4;9350.83;0
73;110;2;34555.5;0
74;84;2;28557.2;0
75;93;2;11791.9;0
76;72;3;37735.8;0
77;41;2;7619.14;0
78;57;3;33765.1;0
79;54;3;28723.5;0
80;34;4;7129.74;0
81;25;2;7718.04;0
82;56;4;5470.46;0
83;88;4;18531.0;0
84;42;3;5115.08;0
85;59;3;7667.94;0
86;56;1;5470.46;0
87;50;1;20427.3;0
88;56;1;5470.46;0
89;96;3;36611.6;0
90;37;2;7446.97;0
91;93;2;11791.9;0
92;21;1;3597.46;0
93;110;2;34555.5;0
94;64;3;9672.96;0
95;79;4;38594.0;0
96;55;2;4219.76;0
97;17;4;7522.94;0
98;96;4;36611.6;0
99;55;1;4219.76;0
100;3;3;8330.27;0
101;45;4;3682.87;0
102;54;1;28723.5;0
103;44;2;7433.85;0
104;88;1;18531.0;0
105;36;3;7263.16;0
106;50;4;20427.3;0
107;10;2;8059.38;0
107;47;1;1748.45;0
107;50;2;20427.3;0
108;28;3;3185.74;0
109;16;1;1788.23;0
110;110;4;34555.5;0
111;84;1;28557.2;0
112;96;1;36611.6;0
113;119;3;12047.6;0
114;13;2;4700.26;0
115;55;4;4219.76;0
116;114;3;13117.6;0
117;52;1;42108.7;0
118;56;1;5470.46;0
119;89;3;12150.0;0
120;72;1;37735.8;0
121;77;1;29831.4;0
122;37;3;7446.97;0
123;60;3;48981.1;0
124;82;2;42123.0;0
125;79;2;38594.0;0
126;125;2;39032.1;0
127;72;4;37735.8;0
128;51;2;25954.5;0
129;15;2;10449.2;0
130;38;1;6661.92;0
131;40;1;3459.38;0
132;119;4;12047.6;0
133;111;1;41386.1;0
134;42;3;5115.08;0
135;85;1;3934.46;0
136;91;4;34176.4;0
137;83;3;11905.7;0
138;49;1;39390.4;0
139;89;3;12150.0;0
140;60;4;48981.1;0
141;83;1;11905.7;0
142;9;1;6119.23;0
143;68;4;24154.3;0
144;27;3;10479.2;0
145;64;2;9672.96;0
146;96;2;36611.6;0
147;22;3;2264.03;0
148;65;2;18844.5;0
149;111;2;41386.1;0
150;73;2;49687.5;0
151;88;3;18531.0;0
152;114;4;13117.6;0
153;4;3;9547.97;0
154;96;3;36611.6;0
155;98;4;49513.9;0
156;64;1;9672.96;0
157;53;1;47548.8;0
158;55;4;4219.76;0
159;57;1;33765.1;0
160;73;4;49687.5;0
161;79;2;38594.0;0
162;9;4;6119.23;0
163;56;1;5470.46;0
164;55;4;4219.76;0
165;42;3;5115.08;0
166;113;2;4092.88;0
167;88;2;18531.0;0
168;50;3;20427.3;0
169;93;4;11791.9;0
170;119;3;12047.6;0
171;83;2;11905.7;0
172;55;3;4219.76;0
173;44;4;7433.85;0
174;78;1;39974.5;0
175;99;3;9132.55;0
176;68;3;24154.3;0
177;46;4;3627.74;0
178;47;4;1748.45;0
179;52;2;42108.7;0
180;50;3;20427.3;0
181;59;4;7667.94;0
182;65;2;18844.5;0
183;10;4;8059.38;0
184;75;4;18373.4;0
185;49;1;39390.4;0
186;4;2;9547.97;0
187;55;3;4219.76;0
188;54;3;28723.5;0
189;89;3;12150.0;0
190;113;3;4092.88;0
191;19;1;2761.97;0
192;11;1;5631.39;0
193;59;2;7667.94;0
194;33;3;5777.99;0
195;53;4;47548.8;0
196;4;1;9547.97;0
197;110;1;34555.5;0
198;99;1;9132.55;0
199;20;2;7211.59;0
200;23;2;1065.04;0
201;59;3;7667.94;0
202;56;1;5470.46;0
203;84;2;28557.2;0
204;64;3;9672.96;0
205;18;3;3161.84;0
206;31;1;4479.28;0
207;14;2;9354.22;0
208;60;3;48981.1;0
209;119;3;12047.6;0
210;79;3;38594.0;0
211;16;1;1788.23;0
212;65;4;18844.5;0
213;82;3;42123.0;0
214;53;2;47548.8;0
215;50;2;20427.3;0
216;103;2;22936.2;0
217;50;4;20427.3;0
218;46;3;3627.74;0
219;73;3;49687.5;0
220;88;3;18531.0;0
221;79;3;38594.0;0
222;23;3;1065.04;0
223;55;1;4219.76;0
224;84;4;28557.2;0
225;89;1;12150.0;0
226;55;1;4219.76;0
227;21;2;3597.46;0
228;21;1;3597.46;0
229;79;4;38594.0;0
230;89;4;12150.0;0
231;75;3;18373.4;0
232;58;4;21634.4;0
233;55;1;4219.76;0
234;84;3;28557.2;0
235;64;2;9672.96;0
236;51;3;25954.5;0
237;15;2;10449.2;0
238;125;4;39032.1;0
239;46;4;3627.74;0
240;113;1;4092.88;0
241;49;1;39390.4;0
242;29;3;8143.57;0
243;126;1;49396.1;0
244;65;3;18844.5;0
245;55;4;4219.76;0
246;111;1;41386.1;0
247;111;4;41386.1;0
248;59;1;7667.94;0
249;43;4;2578.61;0
250;10;2;8059.38;0
251;77;3;29831.4;0
252;27;1;10479.2;0
253;55;2;4219.76;0
254;37;2;7446.97;0
255;99;1;9132.55;0
256;91;3;34176.4;0
257;62;1;45421.9;0
258;78;1;39974.5;0
259;88;3;18531.0;0
260;55;1;4219.76;0
261;73;3;49687.5;0
262;11;2;5631.39;0
263;78;4;39974.5;0
264;93;2;11791.9;0
265;55;3;4219.76;0
266;64;1;9672.96;0
267;5;4;2104.01;0
268;26;2;4506.21;0
269;15;4;10449.2;0
270;32;1;6462.13;0
271;58;4;21634.4;0
272;79;3;38594.0;0
273;54;1;28723.5;0
274;82;4;42123.0;0
275;55;1;4219.76;0
276;67;1;42138.2;0
277;99;4;9132.55;0
278;88;3;18531.0;0
279;22;3;2264.03;0
280;89;1;12150.0;0
281;73;2;49687.5;0
282;98;1;49513.9;0
283;89;2;12150.0;0
284;84;4;28557.2;0
285;64;2;9672.96;0
286;98;1;49513.9;0
287;67;3;42138.2;0
288;57;2;33765.1;0
289;64;4;9672.96;0
290;110;2;34555.5;0
291;64;4;9672.96;0
292;60;1;48981.1;0
293;111;4;41386.1;0
294;21;3;3597.46;0
295;36;1;7263.16;0
296;73;1;49687.5;0
