"Farmacia_Id_farmacia";"Stock";"Precio";"ArtículoPerfumería_Producto_idProducto"
1;811;5211.55;1
1;879;4798.86;7
1;940;4700.26;13
1;316;2761.97;19
1;559;7718.04;25
1;592;4479.28;31
1;658;7446.97;37
1;493;2578.61;43
2;997;9585.35;2
2;973;1724.64;8
2;803;9354.22;14
2;640;7211.59;20
2;484;4506.21;26
2;191;6462.13;32
2;615;6661.92;38
2;247;7433.85;44
3;196;8330.27;3
3;541;6119.23;9
3;260;10449.2;15
3;630;3597.46;21
3;935;10479.2;27
3;946;5777.99;33
3;817;7829.85;39
3;739;3682.87;45
4;657;9547.97;4
4;264;8059.38;10
4;281;1788.23;16
4;333;2264.03;22
4;900;3185.74;28
4;651;7129.74;34
4;787;3459.38;40
4;836;3627.74;46
5;494;2104.01;5
5;751;5631.39;11
5;259;7522.94;17
5;486;1065.04;23
5;123;8143.57;29
5;900;7563.22;35
5;506;7619.14;41
5;223;1748.45;47
6;180;10053.6;6
6;340;7528.35;12
6;989;3161.84;18
6;190;7902.49;24
6;855;1384.42;30
6;389;7263.16;36
6;741;5115.08;42
6;931;9350.83;48
7;659;7759.19;1
7;238;10318.3;7
7;208;9606.29;13
7;757;8998.67;19
7;816;8139.78;25
7;877;3629.77;31
7;706;7576.37;37
7;239;9333.7;43
8;126;4526.78;2
8;157;6276.62;8
8;958;3655.5;14
8;340;3402.13;20
8;669;2455.11;26
8;172;1194.23;32
8;753;8822.14;38
8;679;5965.76;44
9;293;1099.66;3
9;563;8079.41;9
9;601;4544.88;15
9;118;5786.85;21
9;317;4525.76;27
9;209;5531.39;33
9;474;7900.93;39
9;810;2146.3;45
10;621;3376.02;4
10;342;5377.27;10
10;827;4519.04;16
10;392;9965.06;22
10;148;9024.59;28
10;220;6743.4;34
10;302;2542.03;40
10;244;4098.82;46
11;250;3615.46;5
11;775;5523.04;11
11;810;2667.57;17
11;856;4967.34;23
11;639;9698.11;29
11;677;7397.43;35
11;312;1285.84;41
11;624;1588.53;47
12;846;5077.68;6
12;264;9255.82;12
12;819;9131.51;18
12;702;9694.37;24
12;477;6378.15;30
12;926;9334.9;36
12;763;7808.66;42
12;103;6767.71;48
13;877;9368.98;1
13;221;1959.16;7
13;854;2743.4;13
13;433;5240.34;19
13;643;7581.05;25
13;650;7601.82;31
13;606;8557.63;37
13;891;9438.7;43
14;211;1585.9;2
14;307;4601.91;8
14;665;8993.32;14
14;545;4861.89;20
14;509;2486.11;26
14;151;9472.78;32
14;623;2945.19;38
14;937;2376.55;44
15;404;4299.08;3
15;233;2408.81;9
15;393;8233.93;15
15;765;6793.63;21
15;256;3360.88;27
15;840;3875.94;33
15;259;3804.54;39
15;485;6145.39;45
16;426;10059.3;4
16;704;9927.04;10
16;496;8684.79;16
16;507;5063.73;22
16;921;1248.79;28
16;974;10396.1;34
16;807;3493.71;40
16;900;5897.05;46
17;282;10409.9;5
17;931;3425.0;11
17;441;10370.2;17
17;748;10145.5;23
17;107;2830.53;29
17;300;6898.24;35
17;483;8440.68;41
17;609;2670.73;47
18;451;4026.66;6
18;913;6413.81;12
18;551;5698.89;18
18;941;4202.47;24
18;113;7092.41;30
18;825;3761.09;36
18;448;8317.53;42
18;407;8967.15;48
19;706;2515.36;1
19;603;3141.39;7
19;944;6656.78;13
19;290;9613.4;19
19;430;8401.14;25
19;749;6858.62;31
19;413;9570.56;37
19;584;5102.79;43
20;171;1264.01;2
20;698;2583.03;8
20;979;1600.92;14
20;221;7248.86;20
20;393;8913.15;26
20;219;9295.19;32
20;988;2082.09;38
20;778;8035.45;44
21;863;4215.82;3
21;130;3720.13;9
21;504;8070.53;15
21;199;1168.2;21
21;368;5620.03;27
21;353;3403.11;33
21;937;2539.79;39
21;398;7762.77;45
22;174;8886.28;4
22;171;7992.64;10
22;942;8596.7;16
22;653;6807.9;22
22;139;9409.81;28
22;823;7536.42;34
22;792;9186.19;40
22;318;8233.61;46
23;369;5342.89;5
23;998;6650.05;11
23;256;10200.9;17
23;957;9497.69;23
23;106;5042.52;29
23;512;1705.57;35
23;936;2521.61;41
23;650;3487.64;47
24;253;6025.53;6
24;651;2232.07;12
24;128;8536.32;18
24;444;4732.73;24
24;559;10124.8;30
24;889;3699.84;36
24;898;1959.47;42
24;747;2055.5;48
25;360;2873.19;1
25;998;8169.29;7
25;629;7464.07;13
25;527;3328.12;19
25;955;8976.9;25
25;128;4094.7;31
25;658;3438.76;37
25;523;5782.93;43
26;928;7623.5;2
26;986;4055.85;8
26;661;3012.78;14
26;121;7632.15;20
26;378;7320.34;26
26;595;5970.78;32
26;658;8960.14;38
26;466;4430.41;44
27;810;2267.66;3
27;500;7035.46;9
27;139;3036.51;15
27;935;3246.9;21
27;547;3876.66;27
27;366;2538.41;33
27;161;3310.31;39
27;496;9636.59;45
28;557;5225.69;4
28;556;7245.7;10
28;749;7114.76;16
28;497;9504.34;22
28;323;3704.44;28
28;982;9421.69;34
28;372;1375.72;40
28;335;7988.69;46
29;760;5870.05;5
29;662;10108.8;11
29;878;4061.68;17
29;987;5369.6;23
29;471;4599.74;29
29;189;8049.3;35
29;900;2469.7;41
29;384;4287.32;47
30;241;5513.86;6
30;631;9741.24;12
30;499;6113.73;18
30;806;9318.3;24
30;842;3097.6;30
30;755;2428.19;36
30;981;5155.83;42
30;197;4166.06;48
