"idDescuentoPromocional";"Fecha_comienzo";"Fecha_fin";"Tipo";"Porcentaje";"Producto_idProducto"
1;"2023-08-29 15:05:43";"2023-07-19 01:27:51";"Simple";20;6
2;"2023-08-19 18:39:57";"";"3x2";0;37
3;"2023-12-18 12:58:25";"2023-12-18 07:04:24";"2x1";0;31
4;"2023-10-08 13:52:55";"";"2x1";0;20
5;"2024-05-31 10:32:27";"";"Simple";40;29
6;"2023-10-21 21:29:07";"2024-06-13 18:50:20";"2x1";0;28
7;"2023-08-10 03:10:23";"";"3x2";0;7
8;"2024-01-10 00:32:57";"";"Simple";30;43
9;"2024-01-23 04:48:04";"";"2x1";0;30
10;"2024-01-23 22:32:35";"2024-12-10 22:38:09";"Simple";50;47
11;"2024-04-24 04:20:37";"";"3x2";0;45
12;"2023-09-10 02:29:29";"";"Simple";40;27
13;"2023-12-29 05:03:14";"2023-08-03 03:48:47";"3x2";0;21
14;"2024-05-14 04:26:44";"";"2x1";0;14
15;"2024-02-10 21:42:04";"2024-04-30 23:08:30";"Simple";30;23
16;"2024-05-04 06:57:22";"2023-10-16 11:11:54";"2x1";0;24
17;"2023-06-19 22:52:56";"";"2x1";0;3
18;"2023-09-02 10:18:30";"2024-12-19 05:20:39";"Simple";40;33
19;"2023-07-14 13:26:17";"2024-01-08 16:25:51";"Simple";40;40
20;"2023-08-20 05:49:53";"2024-07-31 04:34:40";"2x1";0;35
21;"2023-12-29 05:03:14";"2023-08-03 03:48:47";"Simple";30;22
22;"2024-05-14 04:26:44";"";"2x1";0;17
23;"2024-02-10 21:42:04";"2024-04-30 23:08:30";"Simple";30;21
24;"2024-05-04 06:57:22";"2023-10-16 11:11:54";"2x1";0;23
25;"2023-06-19 22:52:56";"";"2x1";0;5
