"Id_droga";"Nombre_droga"
1;"Clindamicina"
2;"Dexametasona"
3;"Rabeprazol"
4;"Voriconazol"
5;"Atorvastatina"
6;"Warfarina"
7;"Amoxicilina"
8;"Clonazepam"
9;"Ondansetron"
10;"Venlafaxina"
11;"Ondansetron"
12;"Aciclovir"
13;"Sildenafil"
14;"Ceftriaxona"
15;"Meloxicam"
16;"Metformina"
17;"Amoxicilina"
18;"Ciclosporina"
19;"Metronidazol"
20;"Mometasona"
21;"Fenobarbital"
22;"Diazepam"
23;"Diazepam"
24;"Zolpidem"
25;"Zolpidem"
26;"Amikacina"
27;"Nifedipino"
28;"Clopidogrel"
29;"Glimepirida"
30;"Gentamicina"
31;"Nistatina"
32;"Sulfametoxazol"
33;"Ceftriaxona"
34;"Duloxetina"
35;"Ondansetron"
36;"Sertralina"
37;"Salbutamol"
38;"Venlafaxina"
39;"Ciclosporina"
40;"Amikacina"
41;"Indometacina"
42;"Lorazepam"
43;"Desloratadina"
44;"Mometasona"
45;"Esomeprazol"
46;"Acetaminofen"
47;"Alprazolam"
48;"Dipirona"
49;"Ibuprofeno"
50;"Nifedipino"
51;"Dipirona"
52;"Mometasona"
53;"Loratadina"
54;"Nebivolol"
55;"Gentamicina"
56;"Tenofovir"
57;"Doxiciclina"
58;"Naproxeno"
59;"Cefuroxima"
60;"Nifedipino"
61;"Loratadina"
62;"Tenofovir"
63;"Dextrometorfano"
64;"Bromazepam"
65;"Pregabalina"
66;"Olanzapina"
67;"Travoprost"
68;"Sildenafil"
69;"Quetiapina"
70;"Latanoprost"
71;"Naproxeno"
72;"Terbinafina"
73;"Warfarina"
74;"Ibuprofeno"
75;"Metformina"
76;"Salmeterol"
77;"Ceftriaxona"
78;"Cetirizina"
79;"Levetiracetam"
80;"Fenobarbital"
81;"Salbutamol"
82;"Azitromicina"
83;"Amoxicilina"
84;"Hidrocortisona"
85;"Nifedipino"
86;"Nistatina"
87;"Loratadina"
88;"Levofloxacino"
89;"Sildenafil"
90;"Ketoconazol"
91;"Glimepirida"
92;"Ciclosporina"
93;"Bromazepam"
94;"Mirtazapina"
95;"Sildenafil"
96;"Ciclosporina"
97;"Tamsulosina"
98;"Rifampicina"
99;"Fenitoina"
100;"Dipirona"
101;"Naproxeno"
102;"Enalapril"
103;"Sildenafil"
104;"Travoprost"
105;"Travoprost"
106;"Warfarina"
107;"Nifedipino"
108;"Metronidazol"
109;"Tenofovir"
110;"Valaciclovir"
111;"Alprazolam"
112;"Bisoprolol"
113;"Bisoprolol"
114;"Ondansetron"
115;"Ibuprofeno"
116;"Alprazolam"
117;"Azitromicina"
118;"Fenitoina"
119;"Paroxetina"
120;"Valsartan"
121;"Simvastatina"
122;"Pantoprazol"
123;"Amikacina"
124;"Tramadol"
125;"Fenitoina"
126;"Azitromicina"
127;"Montelukast"
128;"Olanzapina"
129;"Ranitidina"
130;"Lamotrigina"
131;"Ceftriaxona"
132;"Travoprost"
133;"Pregabalina"
134;"Valaciclovir"
135;"Travoprost"
136;"Sotalol"
137;"Fluoxetina"
138;"Zidovudina"
139;"Hidroclorotiazida"
140;"Warfarina"
141;"Quetiapina"
142;"Tamsulosina"
143;"Latanoprost"
144;"Amoxicilina"
145;"Diazepam"
146;"Escitalopram"
147;"Amoxicilina"
148;"Risperidona"
149;"Duloxetina"
150;"Fenitoina"
151;"Atorvastatina"
152;"Azitromicina"
153;"Valsartan"
154;"Nitrofurantoina"
155;"Trazodona"
156;"Clobazam"
157;"Sertralina"
158;"Ondansetron"
159;"Ezetimiba"
160;"Sotalol"
161;"Bisoprolol"
162;"Pregabalina"
163;"Bisoprolol"
164;"Montelukast"
165;"Diazepam"
166;"Vardenafil"
167;"Dexametasona"
168;"Mirtazapina"
169;"Tamsulosina"
170;"Fexofenadina"
171;"Hidrocortisona"
172;"Budesonida"
173;"Rosuvastatina"
174;"Ceftriaxona"
175;"Warfarina"
176;"Voriconazol"
177;"Ibuprofeno"
178;"Sildenafil"
179;"Trazodona"
180;"Clopidogrel"
181;"Levofloxacino"
182;"Loratadina"
183;"Cefalexina"
184;"Furosemida"
185;"Duloxetina"
186;"Pregabalina"
187;"Ondansetron"
188;"Albendazol"
189;"Tamsulosina"
190;"Pantoprazol"
191;"Omeprazol"
192;"Carvedilol"
193;"Paroxetina"
194;"Lorazepam"
195;"Doxiciclina"
196;"Venlafaxina"
197;"Albendazol"
198;"Fenilefrina"
199;"Simvastatina"
200;"Clopidogrel"
201;"Salmeterol"
202;"Tramadol"
203;"Ibuprofeno"
204;"Ranitidina"
205;"Fenitoina"
206;"Albendazol"
207;"Valsartan"
208;"Fenilefrina"
209;"Paracetamol"
210;"Indometacina"
211;"Venlafaxina"
212;"Paracetamol"
213;"Ofloxacino"
214;"Losartan"
215;"Ceftriaxona"
216;"Omeprazol"
217;"Losartan"
218;"Clindamicina"
219;"Doxiciclina"
220;"Pregabalina"
221;"Zidovudina"
222;"Risperidona"
223;"Bisoprolol"
224;"Albendazol"
225;"Ranitidina"
226;"Metformina"
227;"Ciclosporina"
228;"Salmeterol"
229;"Voriconazol"
230;"Rosuvastatina"
231;"Fenitoina"
232;"Cefuroxima"
233;"Albendazol"
234;"Fluoxetina"
235;"Escitalopram"
236;"Sildenafil"
237;"Piracetam"
238;"Furosemida"
239;"Acetaminofen"
240;"Dextrometorfano"
241;"Ibuprofeno"
242;"Duloxetina"
243;"Lisinopril"
244;"Escitalopram"
245;"Ondansetron"
246;"Rosuvastatina"
247;"Loratadina"
248;"Sildenafil"
249;"Ketoconazol"
250;"Gentamicina"
251;"Hidroclorotiazida"
252;"Ondansetron"
253;"Ciclosporina"
254;"Salbutamol"
255;"Dipirona"
256;"Alprazolam"
257;"Amoxicilina"
258;"Cetirizina"
259;"Fluoxetina"
260;"Ciclosporina"
261;"Indometacina"
262;"Amikacina"
263;"Dexametasona"
264;"Diazepam"
265;"Fenobarbital"
266;"Mirtazapina"
267;"Voriconazol"
268;"Alprazolam"
269;"Rifampicina"
270;"Zolpidem"
271;"Aciclovir"
272;"Rosuvastatina"
273;"Terbinafina"
274;"Furosemida"
275;"Vardenafil"
276;"Bromazepam"
277;"Sotalol"
278;"Ciclosporina"
279;"Prednisona"
280;"Cetirizina"
281;"Nifedipino"
282;"Fenitoina"
283;"Rifampicina"
284;"Atorvastatina"
285;"Clindamicina"
286;"Tamsulosina"
287;"Acetaminofen"
288;"Rosuvastatina"
289;"Zidovudina"
290;"Metronidazol"
291;"Ibuprofeno"
292;"Clopidogrel"
293;"Rosuvastatina"
294;"Tramadol"
295;"Fenitoina"
296;"Amikacina"
297;"Ondansetron"
298;"Bisoprolol"
299;"Indometacina"
300;"Clopidogrel"
301;"Clopidogrel"
302;"Duloxetina"
303;"Zolpidem"
304;"Escitalopram"
305;"Candesartan"
306;"Quetiapina"
307;"Venlafaxina"
308;"Fenobarbital"
309;"Glimepirida"
310;"Sildenafil"
311;"Levocetirizina"
312;"Pantoprazol"
313;"Atorvastatina"
314;"Valaciclovir"
315;"Aciclovir"
316;"Indometacina"
317;"Clonazepam"
318;"Montelukast"
319;"Quetiapina"
320;"Risperidona"
321;"Pantoprazol"
322;"Amikacina"
323;"Prednisona"
324;"Dexametasona"
325;"Tamsulosina"
326;"Candesartan"
327;"Voriconazol"
328;"Dextrometorfano"
329;"Cefuroxima"
330;"Tenofovir"
331;"Sildenafil"
332;"Acetaminofen"
333;"Sulfametoxazol"
334;"Furosemida"
335;"Enalapril"
336;"Prednisona"
337;"Rabeprazol"
338;"Fluoxetina"
339;"Levocetirizina"
340;"Paracetamol"
341;"Lorazepam"
342;"Bisoprolol"
343;"Salmeterol"
344;"Salbutamol"
345;"Escitalopram"
346;"Ondansetron"
347;"Fenitoina"
348;"Loratadina"
349;"Dextrometorfano"
350;"Lorazepam"
351;"Cefalexina"
352;"Prednisona"
353;"Acetaminofen"
354;"Ondansetron"
355;"Quetiapina"
356;"Levofloxacino"
357;"Voriconazol"
358;"Fexofenadina"
359;"Furosemida"
360;"Lamotrigina"
361;"Metronidazol"
362;"Vardenafil"
363;"Aciclovir"
364;"Venlafaxina"
365;"Desloratadina"
366;"Tamsulosina"
367;"Cefalexina"
368;"Voriconazol"
369;"Clonazepam"
370;"Duloxetina"
371;"Desloratadina"
372;"Fenilefrina"
373;"Furosemida"
374;"Cefuroxima"
375;"Ceftriaxona"
376;"Sotalol"
377;"Fenobarbital"
378;"Voriconazol"
379;"Ciprofloxacino"
380;"Paroxetina"
381;"Glimepirida"
382;"Amoxicilina"
383;"Meloxicam"
384;"Terbinafina"
385;"Tadalafil"
386;"Latanoprost"
387;"Clopidogrel"
388;"Dexametasona"
389;"Cefalexina"
390;"Hidrocortisona"
391;"Glimepirida"
392;"Hidroclorotiazida"
393;"Diazepam"
394;"Fluoxetina"
395;"Clonazepam"
396;"Prednisona"
397;"Albendazol"
398;"Voriconazol"
399;"Venlafaxina"
400;"Fexofenadina"
401;"Mirtazapina"
402;"Tamsulosina"
403;"Fluoxetina"
404;"Atorvastatina"
405;"Levocetirizina"
406;"Quetiapina"
407;"Nebivolol"
408;"Montelukast"
409;"Valaciclovir"
410;"Sertralina"
411;"Ofloxacino"
412;"Dexametasona"
413;"Nistatina"
414;"Metformina"
415;"Carvedilol"
416;"Ofloxacino"
417;"Mirtazapina"
418;"Venlafaxina"
419;"Prednisona"
420;"Meloxicam"
421;"Trazodona"
422;"Metformina"
423;"Fenitoina"
424;"Losartan"
425;"Sildenafil"
426;"Azitromicina"
427;"Salmeterol"
428;"Metronidazol"
429;"Mirtazapina"
430;"Simvastatina"
431;"Indometacina"
432;"Pantoprazol"
433;"Voriconazol"
434;"Zolpidem"
435;"Valsartan"
436;"Dexametasona"
437;"Budesonida"
438;"Ondansetron"
439;"Rosuvastatina"
440;"Candesartan"
441;"Dexametasona"
442;"Salmeterol"
443;"Quetiapina"
444;"Voriconazol"
445;"Atorvastatina"
446;"Diazepam"
447;"Zolpidem"
448;"Budesonida"
449;"Salbutamol"
450;"Dexametasona"
451;"Levofloxacino"
452;"Sildenafil"
453;"Latanoprost"
454;"Ketoconazol"
455;"Rosuvastatina"
456;"Tadalafil"
457;"Rosuvastatina"
458;"Quetiapina"
459;"Montelukast"
460;"Voriconazol"
461;"Gabapentina"
462;"Hidroclorotiazida"
463;"Ibuprofeno"
464;"Desloratadina"
465;"Dextrometorfano"
466;"Esomeprazol"
467;"Clindamicina"
468;"Mirtazapina"
