"farmacia_Id_farmacia";"laboratorio_Id_Laboratorio"
19;1
22;2
26;4
30;4
14;6
15;6
16;6
14;7
11;8
1;12
8;14
17;15
29;16
20;18
22;20
29;20
30;22
1;24
2;25
6;25
5;30
13;30
4;31
16;31
10;32
20;33
3;35
7;35
18;35
6;38
29;38
9;41
12;41
4;42
10;42
25;42
2;43
15;45
21;45
24;45
17;46
5;47
4;48
8;49
18;49
10;52
25;52
28;52
3;54
30;54
7;55
19;56
2;61
22;61
28;61
9;62
21;64
7;65
17;65
2;66
9;66
23;66
16;67
20;67
27;67
7;69
23;69
3;70
5;70
9;72
4;73
13;74
1;76
18;76
5;77
11;77
23;77
19;78
24;78
28;78
15;79
25;80
6;82
10;83
11;84
27;84
21;86
3;87
24;87
13;89
12;90
27;90
26;91
14;92
26;92
8;93
12;94
8;95
1;97
6;98
