"idProducto";"Nombre_producto"
1;"Esmalte de unias"
2;"Labial"
3;"Delineador"
4;"Mini paleta sobras"
5;"Separador de dedos"
6;"Corrector ojeras"
7;"unias postizas"
8;"Mascara de pestania"
9;"Base"
10;"Eau de toillete"
11;"Eau de perfume"
12;"Agua micelar"
13;"Crema corporal"
14;"Mascarilla"
15;"gel corporal"
16;"crema para piernas"
17;"Hialuronico"
18;"Crema animanchas"
19;"Autobronceante"
20;"Serum"
21;"Crema Hidratante"
22;"Jabon de manos"
23;"Jabon en barra"
24;"Protector labial"
25;"Exfoliante"
26;"Desmaquillante"
27;"Cepillo de pelo"
28;"Vincha"
29;"Pincel"
30;"Portacosmeticos"
31;"Emprolijador"
32;"Broches"
33;"Cortaunias"
34;"Pinza depilar"
35;"Crema cicatrizante"
36;"crema antiedad"
37;"oleo"
38;"pasta dental"
39;"shampoo"
40;"acondicionador"
41;"Tratamiento capilar"
42;"Paniales"
43;"Toallitas femeninas"
44;"Tampones"
45;"Hilo Dental"
46;"Leche"
47;"Mamaderas"
48;"Curitas"
49;"Omeprazol"
50;"Alprazolam"
51;"Metformina"
52;"Dexametasona"
53;"Valsartan"
54;"Montelukast"
55;"Sildenafil"
56;"Risperidona"
57;"Tramadol"
58;"Losartan"
59;"Amoxicilina"
60;"Ibuprofeno"
62;"Rosuvastatina"
64;"Levothyroxine"
65;"Naproxeno"
67;"Esomeprazol"
68;"Levotiroxina"
69;"Dipirona"
70;"Diazepam"
72;"Escitalopram"
73;"Bromazepam"
75;"Venlafaxina"
76;"Pantoprazol"
77;"Fluoxetina"
78;"Amiodarona"
79;"Tadalafil"
82;"Azitromicina"
83;"Vildagliptina"
84;"Enalapril"
85;"Duloxetina"
88;"Paracetamol"
89;"Metronidazol"
91;"Prednisona"
92;"Tamsulosina"
93;"Paroxetina"
96;"Clonazepam"
98;"Salmeterol"
99;"Metoprolol"
103;"Carvedilol"
108;"Atorvastatina"
110;"Lorazepam"
111;"Hidroclorotiazida"
113;"Ranitidina"
114;"Metoclopramida"
119;"Cetirizina"
125;"Furosemida"
126;"Loratadina"
